Date,Open,High,Low,Close,Adj Close,Volume,Noramlized_Close,Close_lag_1,Close_lag_2,Close_lag_3,Close_lag_4,Close_lag_5,Close_lag_6,Close_lag_7,Close_lag_8,Close_lag_9,Close_lag_10,Volume_lag_1,Volume_lag_2,Volume_lag_3,Volume_lag_4,Volume_lag_5,Volume_lag_6,Volume_lag_7,Volume_lag_8,Volume_lag_9,Volume_lag_10,SMA_10,SMA_30,SMA_50,SMA_100,SMA_200,EMA_12,EMA_26,EMA_52,EMA_104,EMA_208,BBANDS_1,BBANDS_2,BBANDS_3,RSI,Return,Next_Day_Return
2010-11-29,11.26785659790039,11.338570594787598,11.12071418762207,11.31678581237793,9.63192367553711,445785200,0.0254514960912372,11.25,11.242856979370115,11.026070594787598,11.191429138183594,10.95464324951172,11.01535701751709,10.73214340209961,10.771071434020996,10.96571445465088,11.001070976257324,237585600.0,413725200.0,519447600.0,393075200.0,384843200.0,494491200.0,479449600.0,657650000.0,403606000.0,795846800.0,11.046607208251952,11.0930357615153,10.812107162475586,9.973192873001098,9.319296462535858,11.13103676518186,11.022380384833609,10.70590306772202,10.14377022588368,9.230029713670952,11.52713316990086,11.120142936706545,10.713152703512227,60.09441914942298,0.005936516655816,-0.018051558545857205
2010-11-30,11.197856903076172,11.227143287658691,11.102499961853027,11.112500190734863,9.458050727844238,501858000,0.0242851565018357,11.31678581237793,11.25,11.242856979370115,11.026070594787598,11.191429138183594,10.95464324951172,11.01535701751709,10.73214340209961,10.771071434020996,10.96571445465088,445785200.0,237585600.0,413725200.0,519447600.0,393075200.0,384843200.0,494491200.0,479449600.0,657650000.0,403606000.0,11.061285781860352,11.08488098780314,10.832050018310548,9.99159644126892,9.338537533283231,11.128184984497706,11.02905592601148,10.721246355382885,10.16222222521418,9.248043785221803,11.485088586965096,11.102357228597006,10.719625870228915,55.89410437747608,-0.0180515585458571,0.01687289059903276
2010-12-01,11.259642601013184,11.348214149475098,11.25,11.300000190734863,9.61763858795166,461750800,0.0253556609810735,11.112500190734863,11.31678581237793,11.25,11.242856979370115,11.026070594787598,11.191429138183594,10.95464324951172,11.01535701751709,10.73214340209961,10.771071434020996,501858000.0,445785200.0,237585600.0,413725200.0,519447600.0,393075200.0,384843200.0,494491200.0,479449600.0,657650000.0,11.114178657531738,11.093107191721598,10.85535717010498,10.01270715713501,9.358867888450623,11.154618093149576,11.049125871546543,10.743086122754656,10.183894186462192,9.267679731686044,11.48737277476899,11.103119150797529,10.718865526826065,58.66136883443141,0.0168728905990327,0.005530973357969075
2010-12-02,11.340356826782228,11.39285659790039,11.246070861816406,11.362500190734863,9.6708345413208,462837200,0.0257124958074861,11.300000190734863,11.112500190734863,11.31678581237793,11.25,11.242856979370115,11.026070594787598,11.191429138183594,10.95464324951172,11.01535701751709,10.73214340209961,461750800.0,501858000.0,445785200.0,237585600.0,413725200.0,519447600.0,393075200.0,384843200.0,494491200.0,479449600.0,11.177214336395265,11.102178637186686,10.87707145690918,10.036403589248655,9.3794428896904,11.186599954316543,11.072338784079012,10.766460238527497,10.206343824638816,9.28772586048077,11.488422413202816,11.103404871622722,10.718387330042628,59.54423841193418,0.0055309733579691,-0.002231660811728956
2010-12-03,11.321785926818848,11.380356788635254,11.297857284545898,11.337142944335938,9.649253845214844,342092800,0.0255677222296131,11.362500190734863,11.300000190734863,11.112500190734863,11.31678581237793,11.25,11.242856979370115,11.026070594787598,11.191429138183594,10.95464324951172,11.01535701751709,462837200.0,461750800.0,501858000.0,445785200.0,237585600.0,413725200.0,519447600.0,393075200.0,384843200.0,494491200.0,11.209392929077149,11.111607201894124,10.897442893981934,10.05951431274414,9.40011610507965,11.209760414319527,11.091953907061006,10.787995434973096,10.227882855490188,9.307337507216223,11.494553279618344,11.105285771687823,10.716018263757308,59.0106865905386,-0.0022316608117289,0.008537115523606769
2010-12-06,11.380000114440918,11.511786460876465,11.372142791748049,11.433929443359377,9.731627464294434,448481600,0.0261203109268629,11.337142944335938,11.362500190734863,11.300000190734863,11.112500190734863,11.31678581237793,11.25,11.242856979370115,11.026070594787598,11.191429138183594,10.95464324951172,342092800.0,462837200.0,461750800.0,501858000.0,445785200.0,237585600.0,413725200.0,519447600.0,393075200.0,384843200.0,11.257321548461912,11.126702467600504,10.917321491241456,10.084050035476684,9.421496467590332,11.244247957248737,11.117285428268293,10.812370303214088,10.2508551714496,9.32768766928458,11.551400498145885,11.134143002827962,10.71688550751004,60.42314050550905,0.0085371155236066,-0.006059714359684888
2010-12-07,11.564286231994627,11.571070671081545,11.36142921447754,11.364643096923828,9.672654151916504,391454000,0.0257247304244134,11.433929443359377,11.337142944335938,11.362500190734863,11.300000190734863,11.112500190734863,11.31678581237793,11.25,11.242856979370115,11.026070594787598,11.191429138183594,448481600.0,342092800.0,462837200.0,461750800.0,501858000.0,445785200.0,237585600.0,413725200.0,519447600.0,393075200.0,11.274642944335938,11.137857246398926,10.936642932891846,10.108446464538574,9.443130397796631,11.262770286429518,11.135608218539073,10.833210785995588,10.272070179553872,9.34718006572132,11.582493886959774,11.16073824564616,10.738982604332543,58.90683872292416,-0.0060597143596848,0.008799170105260755
2010-12-08,11.415356636047363,11.46500015258789,11.325357437133787,11.464642524719238,9.757767677307127,321935600,0.0262956628797532,11.364643096923828,11.433929443359377,11.337142944335938,11.362500190734863,11.300000190734863,11.112500190734863,11.31678581237793,11.25,11.242856979370115,11.026070594787598,391454000.0,448481600.0,342092800.0,462837200.0,461750800.0,501858000.0,445785200.0,237585600.0,413725200.0,519447600.0,11.3185001373291,11.153285789489749,10.96103578567505,10.135385751724243,9.464621465206148,11.293827553858703,11.159981130107974,10.857038398777611,10.294785843271308,9.367442864372018,11.59872114173569,11.206976318359375,10.81523149498306,60.403330284095205,0.0087991701052607,-0.0038939241523702033
2010-12-09,11.504643440246582,11.51785659790039,11.39357089996338,11.420000076293944,9.719770431518556,294151200,0.0260407831944016,11.464642524719238,11.364643096923828,11.433929443359377,11.337142944335938,11.362500190734863,11.300000190734863,11.112500190734863,11.31678581237793,11.25,11.242856979370115,321935600.0,391454000.0,448481600.0,342092800.0,462837200.0,461750800.0,501858000.0,445785200.0,237585600.0,413725200.0,11.336214447021485,11.16748816172282,10.984171504974364,10.15962504386902,9.485650036334992,11.313238711156432,11.179241792788416,10.878282235665022,10.31621849532888,9.387084560179884,11.564328631736103,11.25283342997233,10.941338228208558,59.39571731778828,-0.0038939241523702,0.0025018501448634506
2010-12-10,11.416070938110352,11.466071128845217,11.378570556640623,11.44857120513916,9.744088172912598,262511200,0.0262039059752319,11.420000076293944,11.464642524719238,11.364643096923828,11.433929443359377,11.337142944335938,11.362500190734863,11.300000190734863,11.112500190734863,11.31678581237793,11.25,294151200.0,321935600.0,391454000.0,448481600.0,342092800.0,462837200.0,461750800.0,501858000.0,445785200.0,237585600.0,11.3560715675354,11.185726229349772,11.010464344024658,10.18331075668335,9.506353607177736,11.334059094846085,11.199192119629211,10.899802574135744,10.337787118372889,9.406811705107724,11.579826803093908,11.281714375813802,10.983601948533698,59.843076236206215,0.0025018501448634,0.0034626446631680916
